Quickfire,LeeAnne,Stephen,Tiffani,LeeAnne,Andrea,Stephen,Harold,LeeAnne,Harold,,
Harold,WIN,IN,LOW,HIGH,LOW,IN,HIGH,IN,HIGH,HIGH,WINNER
Tiffani,HIGH,IN,LOW,WIN,WIN,HIGH,HIGH,IN,HIGH,LOW,RUNNER-UP
Dave,IN,LOW,LOW,IN,WIN,LOW,WIN,IN,WIN,OUT,
LeeAnne,IN,IN,LOW,IN,HIGH,WIN,LOW,IN,OUT,,
Stephen,HIGH,HIGH,WIN,LOW,HIGH,HIGH,LOW,OUT,,,
Miguel,IN,WIN,WIN,IN,LOW,LOW,OUT,,,,
Andrea,LOW,OUT,WIN,HIGH,LOW,OUT,,,,,
Lisa,IN,LOW,WIN,LOW,OUT,,,,,,
Candice,LOW,IN,WIN,OUT,,,,,,,
Brian,IN,HIGH,OUT,,,,,,,,
Cynthia,IN,LOW,WD,,,,,,,,
Ken,OUT,,,,,,,,,,
