Quickfire,"John,Kuniko,Sheldon",Josie,John,"Bart,Sheldon",Brooke,Kristen,Micah,Micah,Brooke,,Stefan,Sheldon,Sheldon,Brooke,,
Kristen,IN,IN,WIN,IN,HIGH,WIN,IN,WIN,WIN,OUT,,IN,WINNER,,,
Brooke,LOW,IN,IN,LOW,WIN,HIGH,WIN,HIGH,IN,IN,LOW,WIN,WIN,WIN,IN,RUNNER-UP
Sheldon,HIGH,LOW,IN,IN,HIGH,HIGH,LOW,IN,WIN,WIN,HIGH,LOW,LOW,LOW,OUT,
Josh,IN,IN,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,WIN,HIGH,LOW,OUT,,
Lizzie,IN,HIGH,HIGH,IN,IN,HIGH,HIGH,LOW,LOW,IN,HIGH,HIGH,OUT,,,
Stefan,LOW,IN,HIGH,LOW,IN,HIGH,IN,IN,IN,IN,LOW,OUT,,,,
Josie,LOW,LOW,IN,IN,IN,LOW,LOW,IN,LOW,LOW,OUT,,,,,
Micah,IN,IN,IN,IN,LOW,LOW,HIGH,IN,OUT,,,,,,,
John,HIGH,IN,IN,LOW,HIGH,LOW,WIN,OUT,,,,,,,,
Bart,LOW,IN,IN,IN,IN,LOW,OUT,,,,,,,,,
Danyele,IN,IN,IN,IN,LOW,OUT,,,,,,,,,,
Eliza,IN,IN,IN,IN,OUT,,,,,,,,,,,
CJ,LOW,HIGH,LOW,OUT,,,,,,,,,,,,
Tyler,IN,LOW,HIGH,OUT,,,,,,,,,,,,
Carla,IN,WIN,OUT,,,,,,,,,,,,,
Chrissy,IN,IN,OUT,,,,,,,,,,,,,
Kuniko,WIN,OUT,,,,,,,,,,,,,,
Jeffrey,OUT,,,,,,,,,,,,,,,
