Quickfire,,Carrie,Shirley,"Bene,Brian,Carlos,Nicholas,Nina,Patty,Travis",Nina,Brian,Brian,,Shirley,Carrie,Shirley,Nicholas,Shirley,Carlos,Nicholas,,
Nicholas,IN,LOW,IN,IN,HIGH,HIGH,LOW,IN,WIN,WIN,IN,LOW,LOW,LOW,LOW,WIN,WINNER
Nina,WIN,IN,HIGH,HIGH,LOW,WIN,HIGH,HIGH,IN,IN,LOW,HIGH,WIN,HIGH,HIGH,IN,RUNNER-UP
Shirley,IN,IN,IN,WIN,IN,IN,IN,HIGH,IN,IN,WIN,IN,LOW,WIN,WIN,OUT,
Louis,IN,IN,LOW,IN,IN,IN,IN,OUT,,OUT,,,,,,,
Carlos,IN,HIGH,LOW,IN,WIN,IN,HIGH,WIN,IN,HIGH,HIGH,LOW,HIGH,HIGH,OUT,,
Brian,IN,HIGH,IN,IN,LOW,IN,LOW,IN,IN,LOW,HIGH,HIGH,HIGH,OUT,,,
Stephanie,IN,IN,HIGH,LOW,IN,IN,WIN,LOW,HIGH,HIGH,LOW,WIN,OUT,,,,
Carrie,HIGH,WIN,IN,HIGH,IN,IN,HIGH,IN,HIGH,IN,IN,OUT,,,,,
Justin,IN,IN,WIN,HIGH,IN,HIGH,IN,LOW,LOW,LOW,OUT,,,,,,
Travis,IN,HIGH,IN,LOW,WIN,LOW,LOW,IN,HIGH,OUT,,,,,,,
Sara,HIGH,IN,IN,LOW,IN,LOW,IN,IN,OUT,,,,,,,,
Patty,LOW,LOW,IN,HIGH,HIGH,IN,OUT,,,,,,,,,,
Bene,IN,IN,IN,LOW,LOW,OUT,,,,,,,,,,,
Michael,IN,IN,IN,IN,OUT,,,,,,,,,,,,
Janine,IN,IN,IN,OUT,,,,,,,,,,,,,
Bret,IN,LOW,OUT,,,,,,,,,,,,,,
Aaron,LOW,HIGH,OUT,,,,,,,,,,,,,,
Jason,IN,OUT,,,,,,,,,,,,,,,
Ramon,OUT,,,,,,,,,,,,,,,,
