Quickfire,"Aaron,Adam,Doug,Keriann",James,Gregory,Katsuji,Gregory,Katie,,Gregory,George,Melissa,,Mei,Doug,Gregory,
Mei,WIN,HIGH,IN,IN,IN,HIGH,HIGH,LOW,WIN,WIN,HIGH,HIGH,IN,IN,WINNER
Gregory,HIGH,WIN,WIN,WIN,WIN,LOW,LOW,HIGH,LOW,HIGH,IN,LOW,HIGH,WIN,RUNNER-UP
Doug,HIGH,IN,IN,IN,WIN,HIGH,WIN,WIN,HIGH,OUT,,WIN,OUT,,
Melissa,IN,LOW,HIGH,IN,LOW,LOW,HIGH,LOW,HIGH,LOW,WIN,WIN,OUT,,
George,OUT,,,,,,,HIGH,IN,LOW,IN,OUT,,,
Katsuji,LOW,HIGH,LOW,WIN,WIN,WIN,LOW,IN,OUT,,,,,,
Adam,IN,WIN,IN,IN,IN,IN,HIGH,OUT,,,,,,,
Katie,LOW,HIGH,HIGH,IN,WIN,IN,LOW,OUT,,,,,,,
Keriann,IN,LOW,LOW,IN,WIN,IN,OUT,,,,,,,,
Stacy,IN,IN,IN,LOW,LOW,OUT,,,,,,,,,
Aaron,IN,LOW,IN,WIN,OUT,,,,,,,,,,
James,IN,IN,IN,OUT,,,,,,,,,,,
Rebecca,IN,WIN,IN,OUT,,,,,,,,,,,
Ron,IN,LOW,OUT,,,,,,,,,,,,
Joy,IN,OUT,,,,,,,,,,,,,
Michael,OUT,,,,,,,,,,,,,,
