Elimination Challenge Results,"Amar,Frances,Renee",,Grayson,Wesley,Jason,Chad,Jeremy,Karen,,Isaac,Marjorie,Jeremy,Jeremy,
Jeremy,WIN,IN,HIGH,WIN,IN,IN,IN,HIGH,LOW,LOW,LOW,WIN,IN,WINNER
Amar,HIGH,HIGH,IN,IN,IN,HIGH,IN,HIGH,LOW,WIN,IN,OUT,WIN,RUNNER-UP
Isaac,IN,HIGH,IN,IN,IN,LOW,IN,LOW,WIN,IN,IN,LOW,OUT,
Marjorie,IN,WIN,IN,IN,IN,IN,WIN,LOW,HIGH,LOW,HIGH,LOW,OUT,
Carl,HIGH,IN,IN,IN,IN,IN,HIGH,IN,HIGH,HIGH,WIN,OUT,,
Kwame,IN,IN,WIN,IN,WIN,HIGH,LOW,IN,LOW,HIGH,OUT,,,
Karen,IN,IN,HIGH,HIGH,LOW,WIN,IN,IN,HIGH,OUT,,,,
Phillip,IN,LOW,IN,IN,LOW,IN,LOW,WIN,OUT,,,,,
Chad,IN,IN,IN,IN,IN,IN,HIGH,OUT,,,,,,
Jason,IN,IN,IN,IN,IN,LOW,OUT,,,,,,,
Wesley,IN,IN,LOW,IN,HIGH,OUT,,,,,,,,
Angelina,LOW,HIGH,LOW,LOW,IN,OUT,,,,,,,,
Giselle,IN,IN,IN,IN,OUT,,,,,,,,,
Grayson,LOW,LOW,IN,OUT,,,,,,,,,,
Frances,IN,LOW,OUT,,,,,,,,,,,
Renee,IN,OUT,,,,,,,,,,,,
Garret,OUT,,,,,,,,,,,,,
