Quickfire,Sam,Cliff,Cliff,Carlos,Sam,"Cliff,Frank,Ilan,Mia,Sam",Marcel,Cliff,Michael,Sam,Sam,,
Ilan,WIN,LOW,IN,IN,WIN,IN,IN,HIGH,LOW,IN,HIGH,LOW,WINNER
Marcel,LOW,LOW,IN,HIGH,IN,HIGH,IN,HIGH,LOW,IN,LOW,WIN,RUNNER-UP
Sam,IN,HIGH,HIGH,LOW,HIGH,IN,LOW,WIN,HIGH,LOW,HIGH,OUT,
Elia,HIGH,LOW,IN,IN,LOW,WIN,WIN,LOW,HIGH,IN,LOW,OUT,
Cliff,IN,LOW,HIGH,LOW,HIGH,IN,LOW,LOW,IN,LOW,DQ7,,
Michael,IN,HIGH,LOW,LOW,HIGH,LOW,IN,LOW,WIN,OUT,,,
Betty,HIGH,WIN,WIN,HIGH,LOW,LOW,HIGH,HIGH,OUT,,,,
Mia,HIGH,HIGH,IN,LOW,LOW,IN,HIGH,WD5,,,,,
Frank,IN,LOW,LOW,WIN,IN,IN,OUT,,,,,,
Carlos,LOW,HIGH,IN,LOW,LOW,OUT,,,,,,,
Marisa,IN,LOW,IN,LOW,OUT3,,,,,,,,
Josie,IN,HIGH,IN,IN,OUT3,,,,,,,,
Emily,IN,HIGH,OUT,,,,,,,,,,
Otto,LOW,WD2,,,,,,,,,,,
Suyai,OUT,,,,,,,,,,,,
