Quickfire,Micah,Hung,Brian,Casey,Joey,Casey,Dale,CJ,"Dale,Howie,Hung,SaraM",Brian,Hung,Hung,Casey,
Hung,HIGH,IN,IN,HIGH,LOW,LOW,HIGH,IN,HIGH,LOW,HIGH,WIN,IN,WINNER
Dale,LOW,IN,HIGH,LOW,IN,HIGH,IN,IN,HIGH,LOW,HIGH,LOW,WIN,RUNNER-UP
Casey,IN,IN,IN,LOW,LOW,HIGH,LOW,IN,LOW,WIN,WIN,HIGH,IN,RUNNER-UP
Brian,LOW,WIN,LOW,HIGH,IN,IN,HIGH,IN,LOW,LOW,LOW,HIGH,OUT,
SaraM,IN,IN,LOW,LOW,IN,LOW,HIGH,IN,WIN,HIGH,LOW,OUT,,
CJ,IN,IN,LOW,IN,IN,WIN,LOW,IN,LOW,HIGH,OUT,,,
Howie,LOW,LOW,WIN,LOW,WIN,LOW,LOW,IN,HIGH,OUT,,,,
Tre,WIN,LOW,IN,IN,IN,WIN,WIN,IN,OUT,,,,,
SaraN,IN,HIGH,IN,IN,LOW,IN,OUT,,,,,,,
Joey,IN,LOW,IN,LOW,HIGH,OUT,,,,,,,,
Lia,IN,IN,LOW,WIN,OUT,,,,,,,,,
Camille,IN,IN,IN,OUT,,,,,,,,,,
Micah,IN,HIGH,OUT,,,,,,,,,,,
Sandee,IN,OUT,,,,,,,,,,,,
Clay,OUT,,,,,,,,,,,,,
