QuickFire,Mark,Richard,Dale,Antonia,Jennifer,Richard,Antonia,"Andrew,Antonia,Richard,Stephanie",Spike,Antonia,Spike,Stephanie,,
Stephanie,WIN,LOW,WIN,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,WIN,WIN,HIGH,WINNER
Lisa,IN,HIGH,IN,HIGH,WIN,IN,LOW,LOW,LOW,LOW,LOW,LOW,LOW,RUNNER-UP
Richard,HIGH,IN,IN,WIN,LOW,IN,WIN,IN,WIN,IN,HIGH,HIGH,WIN,RUNNER-UP
Antonia,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,WIN,HIGH,IN,HIGH,HIGH,OUT,
Spike,IN,LOW,IN,LOW,LOW,IN,HIGH,IN,LOW,LOW,LOW,OUT,,
Dale,IN,LOW,IN,HIGH,HIGH,WIN,WIN,IN,LOW,WIN,OUT,,,
Andrew,IN,WIN,IN,HIGH,LOW,IN,HIGH,HIGH,HIGH,OUT,,,,
Nikki,HIGH,LOW,IN,IN,IN,LOW,IN,HIGH,OUT,,,,,
Mark,LOW,HIGH,IN,IN,LOW,LOW,IN,OUT,,,,,,
Jennifer,IN,HIGH,IN,IN,IN,IN,OUT,,,,,,,
Ryan,LOW,IN,LOW,IN,IN,OUT,,,,,,,,
Zoi,IN,HIGH,LOW,LOW,OUT,,,,,,,,,
Manuel,IN,HIGH,IN,OUT,,,,,,,,,,
Erik,LOW,IN,OUT,,,,,,,,,,,
Valerie,IN,OUT,,,,,,,,,,,,
Nimma,OUT,,,,,,,,,,,,,
