QuickFire,"Robin,Jennifer",Michael,Jennifer,Kevin,Mike,Robin,Kevin,Eli,"Jennifer,Kevin,Laurine,Mike",Kevin,Eli,Jennifer,Michael,
Michael,IN,HIGH,WIN,HIGH,HIGH,HIGH,LOW,HIGH,WIN,HIGH,WIN,IN,IN,WINNER
Bryan,IN,WIN,IN,WIN,WIN,IN,HIGH,HIGH,HIGH,IN,HIGH,IN,WIN,RUNNER-UP
Kevin,WIN,IN,HIGH,IN2,IN,WIN,HIGH,WIN,LOW,WIN,HIGH,WIN,IN,RUNNER-UP
Jennifer,HIGH,IN,IN,HIGH,IN,HIGH,WIN,HIGH,LOW,LOW,LOW,IN,OUT,
Eli,IN,HIGH,HIGH,IN,IN,IN,LOW,IN,HIGH,HIGH,LOW,OUT,,
Robin,IN,IN,IN,IN,LOW,IN,IN,LOW,HIGH,LOW,OUT,,,
Mike,HIGH,IN,LOW,HIGH,IN,IN,IN,IN,LOW,OUT,,,,
Laurine,IN,IN,LOW,IN,HIGH,LOW,HIGH,LOW,OUT,,,,,
Ash,IN,IN,IN,LOW,IN,LOW,LOW,OUT,,,,,,
Ashley,IN,LOW,IN,LOW,HIGH,HIGH,OUT,,,,,,,
Ron,HIGH,IN,IN,IN,LOW,OUT,,,,,,,,
Mattin,IN,IN,IN,LOW,OUT,,,,,,,,,
Hector,LOW,HIGH,IN,OUT,,,,,,,,,,
Jesse,LOW,LOW,IN,OUT3,,,,,,,,,,
Preeti,IN,LOW,OUT,,,,,,,,,,,
Eve,LOW,OUT,,,,,,,,,,,,
Jen,OUT,,,,,,,,,,,,,
