Name,Current Residence,Age
Amanda Baumgarten,"Los Angeles, California",27
Tracey Bloom,"Atlanta, Georgia",33
Ed Cotton,"Queens, New York",32
Andrea CurtoRandazzo,"Miami Beach, Florida",39
Tim Dean,"Baltimore, Maryland",39
Tiffany Derry,"Dallas, Texas",26
Lynne Gigliotti,"Hyde Park, New York",51
Kenny Gilbert,"Telluride, Colorado",36
Stephen Hopcraft,"Las Vegas, Nevada",40
Kelly Liken,"Vail, Colorado",33
Jacqueline Lombard,"Brooklyn, New York",33
Arnold Myint,"Nashville, Tennessee",32
Alex Reznik,"Hollywood, California",33
Kevin Sbraga,"Willingboro, New Jersey",30
John Somerville,"West Bloomfield, Michigan",42
Angelo Sosa,"New York, New York",34
Tamesha Warren,"Washington, D.C.",24
