QuickFire,Angelo,"Angelo,Tracy",Kenny,"Kenny,Tamesha",Ed,Kelly,Angelo,Tiffany,"Amanda,Kelly,Kenny,Kevin",Tiffany,Ed,Angelo,Ed,
Kevin,HIGH,IN,LOW,LOW,HIGH,WIN,LOW,HIGH,LOW,IN,LOW,IN,IN,WINNER
Angelo,WIN,IN,HIGH,IN,IN,IN,IN,IN,HIGH,LOW,LOW,WIN,IN,RUNNER-UP
Ed,IN,LOW,HIGH,IN,IN,IN,HIGH,LOW,WIN,HIGH,WIN,IN,WIN,RUNNER-UP
Kelly,IN,WIN,IN,WIN,HIGH,IN2,LOW,HIGH,LOW,HIGH,LOW,IN,OUT,
Tiffany,IN,HIGH,IN,IN,IN,HIGH,HIGH,WIN,HIGH,WIN,HIGH,OUT,,
Amanda,IN,LOW,HIGH,IN,LOW,IN,IN,IN,LOW,LOW,OUT,,,
Alex,HIGH,IN,IN,IN,IN,IN,WIN,LOW,HIGH,OUT,,,,
Kenny,HIGH,LOW,IN,LOW,WIN,LOW,IN,IN,OUT,,,,,
Stephen,LOW,IN,LOW,IN,LOW,IN,IN,OUT,,,,,,
Andrea,IN,IN,IN,WIN,HIGH,IN,OUT,,,,,,,
Tamesha,IN,IN,IN,IN,IN,OUT,,,,,,,,
Tim,LOW,IN,LOW,IN,OUT,,,,,,,,,
Arnold,IN,HIGH,WIN,OUT,,,,,,,,,,
Lynne,IN,HIGH,IN,OUT,,,,,,,,,,
Tracey,IN,IN,OUT,,,,,,,,,,,
Jacqueline,LOW,OUT,,,,,,,,,,,,
John,OUT,,,,,,,,,,,,,
