Quickfire,Dakota,Paul,Lindsay,Grayson,Tylor,Tylor,,Lindsay,"ChrisJ,Grayson",Edward,Sarah,,Sarah,,
Paul,WIN,IN,WIN,IN,IN,IN,WIN,LOW,WIN,WIN,IN,WIN,WIN,WIN,WINNER
Sarah,LOW,WIN,HIGH,IN,IN,WIN,LOW,HIGH,LOW,LOW,LOW,IMM,WIN,IN,RUNNER-UP
Lindsay,LOW,IN,IN,IN,IN,IN,WIN,HIGH,HIGH,HIGH,WIN,LOW,WIN,OUT,
Beverly,WIN,LOW,IN,IN,LOW,HIGH,LOW,WIN,OUT,,HIGH,OUT,,,
Edward,WIN,IN,IN,LOW,WIN,HIGH,LOW,LOW,HIGH,LOW,LOW,OUT,,,
Grayson,WIN,IN,HIGH,IN,LOW,LOW,WIN,HIGH,LOW,HIGH,OUT,,,,
ChrisJ,WIN,IN,LOW,HIGH,LOW,IN,LOW,LOW,HIGH,OUT,,,,,
Tylor,LOW,IN,LOW,LOW,WIN,IN,LOW,OUT,,,,,,,
ChrisC,IN,WIN,LOW,IN,IN,LOW,OUT,,,,,,,,
Heather,WIN,IN,IN,WIN,LOW,OUT,,,,,,,,,
Nyesha,IN,LOW,IN,HIGH,OUT,,,,,,,,,,
Dakota,IN,IN,HIGH,IN,OUT,,,,,,,,,,
Whitney,IN,IN,IN,OUT,,,,,,,,,,,
Chuy,WIN,WIN,OUT,,,,,,,,,,,,
Richie,WIN,OUT,,,,,,,,,,,,,
Keith,OUT,,,,,,,,,,,,,,
